title,album,year,artist,genre,text,url,hero
Siri Chandanapu,Muddula Priyudu,1994,M. M. KeeravaniK. S. ChithraS.P. Balasubrahmanyam,Electronic,siri chandanapu muddula priyudu m. m. keeravanik . s. chithras.p . balasubrahmanyam,https://www.jiosaavn.com/song/siri-chandanapu/OSo0XAdmbn0,Jagapathi Babu
Come Back Indian,Bharateeyudu 2 (Original Motion Picture Soundtrack),2024,Anirudh RavichanderSri Krishna,Classical,come back indian bharateeyudu 2 ( origin motion pictur soundtrack ) anirudh ravichandersri krishna,https://www.jiosaavn.com/song/come-back-indian/NSodUxtdX14,Nani
Hallo Guru,Nirnayam,1991,S.P. Balasubrahmanyam,Electronic,hallo guru nirnayam s.p . balasubrahmanyam,https://www.jiosaavn.com/song/hallo-guru/BDAhd0BmYAI,Dhanush
Gudilo Badilo Madilo,DJ,2017,M. L. R. KarthikeyanK. S. Chithra,Country,gudilo badilo madilo dj m. l. r. karthikeyank . s. chithra,https://www.jiosaavn.com/song/gudilo-badilo-madilo/BBIoazBTfFw,Not applicable
Maate Raani,O Papa Lali,1990,S.P. Balasubrahmanyam,Rock,maat raani o papa lali s.p . balasubrahmanyam,https://www.jiosaavn.com/song/maate-raani/IkVeXhBoBHk,Nagarjuna
Swathi Reddy,Swathi Reddy,2023,Bheems CeciroleoSwathi Reddy UK,Classical,swathi reddi swathi reddi bheem ceciroleoswathi reddi uk,https://www.jiosaavn.com/song/swathi-reddy/BSYeQE1VU0E,Chiranjeevi
Why This Kolaveri Di - The Soup Of Love,3 (Telugu),2012,Anirudh RavichanderDhanush,Hip-hop,whi thi kolaveri di - the soup of love 3 ( telugu ) anirudh ravichanderdhanush,https://www.jiosaavn.com/song/why-this-kolaveri-di-the-soup-of-love/SRgBAwJfdX8,Venkatesh
Thinna Thiram Paduthale,Thinna Thiram Paduthale,2020,Laxmi,Blues,thinna thiram paduthal thinna thiram paduthal laxmi,https://www.jiosaavn.com/song/thinna-thiram-paduthale/IwAYdjBVc1Q,Ram Pothineni
Goruvanka Valaga,Ghandeevam,1994,S.P. BalasubrahmanyamK. S. ChithraM.G. Sreekumar,Jazz,goruvanka valaga ghandeevam s.p . balasubrahmanyamk . s. chithram.g . sreekumar,https://www.jiosaavn.com/song/goruvanka-valaga/JRInUkJXWVQ,Jr. NTR
Laahe Laahe,Acharya​,2022,Harika NarayanSahithi Chaganti,Blues,laah laah acharya​ harika narayansahithi chaganti,https://www.jiosaavn.com/song/laahe-laahe/Ri8jQRVXeGw,Naga Chaitanya
Kokila Kokila,Pelli Chesukundham,2000,KotiK. S. ChithraS.P. Balasubrahmanyam,Hip-hop,kokila kokila pelli chesukundham kotik . s. chithras.p . balasubrahmanyam,https://www.jiosaavn.com/song/kokila-kokila/FR0oQCAGYFw,Rajinikanth
Bullet Song,The Warriorr,2022,Silambarasan TRHaripriya,Country,bullet song the warriorr silambarasan trharipriya,https://www.jiosaavn.com/song/bullet-song/ETkyax5kUGQ,Nagarjuna
All Hail The Tiger (From &quot;Devara Part 1&quot;),All Hail The Tiger (From &quot;Devara Part 1&quot;),2024,Anirudh RavichanderNatalie Di LuccioHeisenberg,Jazz,all hail the tiger ( from & quot ; devara part 1 & quot ; ) all hail the tiger ( from & quot ; devara part 1 & quot ; ) anirudh ravichandernatali di luccioheisenberg,https://www.jiosaavn.com/song/all-hail-the-tiger-from-devara-part-1/Ly4-bjplAV4,Allu Arjun
Kundanapu Bomma,Yemaaya Chesave,2010,A.R. RahmanKalyani MenonBenny Dayal,Rock,kundanapu bomma yemaaya chesav a.r . rahmankalyani menonbenni dayal,https://www.jiosaavn.com/song/kundanapu-bomma/BlwfQyNaA38,Ravi Teja
Hukum,Jailer,2023,Dinker kalvalaAnirudh RavichanderBhaskarabhatla Ravi Kumar,Blues,hukum jailer dinker kalvalaanirudh ravichanderbhaskarabhatla ravi kumar,https://www.jiosaavn.com/song/hukum/AhwiVEZ1Q2I,Prabhas
Prema Endukani,Ninne Premista,2000,S.A. Raj KumarK. S. ChithraRajesh,Blues,prema endukani ninn premista s.a. raj kumark . s. chithrarajesh,https://www.jiosaavn.com/song/prema-endukani/F18jRUVWWFg,Dulquer Salmaan
Gili Giligas,Desamuduru,2006,Devan EkambaramAndrea,Jazz,gili giliga desamuduru devan ekambaramandrea,https://www.jiosaavn.com/song/gili-giligas/QlE-eiJ2c2k,Pawan Kalyan
Yeh Oore Chinadana,Bhadra,2005,Devi Sri PrasadKalpanaTippu,Hip-hop,yeh oor chinadana bhadra devi sri prasadkalpanatippu,https://www.jiosaavn.com/song/yeh-oore-chinadana/Rh0Of00dDkU,Prabhas
Yahoon Yahoon,Mirchi,2013,Devi Sri PrasadMika Singh,Electronic,yahoon yahoon mirchi devi sri prasadmika singh,https://www.jiosaavn.com/song/yahoon-yahoon/FwM6VyB8QlI,Allu Arjun
